,north,east,south,west
2022-01-21 05:05:00+00:00,3.476108824136796e-14,3.476108824136796e-14,3.476108824136796e-14,3.476108824136796e-14
2022-01-21 05:10:00+00:00,2.8440890379301054e-14,2.8440890379301054e-14,2.8440890379301054e-14,2.8440890379301054e-14
2022-01-21 05:15:00+00:00,2.326981940124631e-14,2.326981940124631e-14,2.326981940124631e-14,2.326981940124631e-14
2022-01-21 05:20:00+00:00,1.9038943146474252e-14,1.9038943146474252e-14,1.9038943146474252e-14,1.9038943146474252e-14
2022-01-21 05:25:00+00:00,1.5577317119842567e-14,1.5577317119842567e-14,1.5577317119842567e-14,1.5577317119842567e-14
2022-01-21 05:30:00+00:00,1.274507764350755e-14,1.274507764350755e-14,1.274507764350755e-14,1.274507764350755e-14
2022-01-21 05:35:00+00:00,1.042779079923345e-14,1.042779079923345e-14,1.042779079923345e-14,1.042779079923345e-14
2022-01-21 05:40:00+00:00,8.531828835736458e-15,8.531828835736458e-15,8.531828835736458e-15,8.531828835736458e-15
2022-01-21 05:45:00+00:00,6.980587229238918e-15,6.980587229238918e-15,6.980587229238918e-15,6.980587229238918e-15
2022-01-21 05:50:00+00:00,5.711389551195478e-15,5.711389551195478e-15,5.711389551195478e-15,5.711389551195478e-15
2022-01-21 05:55:00+00:00,4.6729550873417535e-15,4.6729550873417535e-15,4.6729550873417535e-15,4.6729550873417535e-15
2022-01-21 06:00:00+00:00,3.823326889643253e-15,3.823326889643253e-15,3.823326889643253e-15,3.823326889643253e-15
2022-01-21 06:05:00+00:00,3.1281765460717517e-15,3.1281765460717517e-15,3.1281765460717517e-15,3.1281765460717517e-15
2022-01-21 06:10:00+00:00,2.5594171740587057e-15,2.5594171740587057e-15,2.5594171740587057e-15,2.5594171740587057e-15
2022-01-21 06:15:00+00:00,2.0940685969571225e-15,2.0940685969571225e-15,2.0940685969571225e-15,2.0940685969571225e-15
2022-01-21 06:20:00+00:00,1.7133288520558273e-15,1.7133288520558273e-15,1.7133288520558273e-15,1.7133288520558273e-15
2022-01-21 06:25:00+00:00,1.401814515318404e-15,1.401814515318404e-15,1.401814515318404e-15,1.401814515318404e-15
2022-01-21 06:30:00+00:00,1.1469391488968759e-15,1.1469391488968759e-15,1.1469391488968759e-15,1.1469391488968759e-15
2022-01-21 06:35:00+00:00,9.38404758188353e-16,9.38404758188353e-16,9.38404758188353e-16,9.38404758188353e-16
2022-01-21 06:40:00+00:00,7.67785711245016e-16,7.67785711245016e-16,7.67785711245016e-16,7.67785711245016e-16
2022-01-21 06:45:00+00:00,6.281883092004675e-16,6.281883092004675e-16,6.281883092004675e-16,6.281883092004675e-16
2022-01-21 06:50:00+00:00,5.139722529822006e-16,5.139722529822006e-16,5.139722529822006e-16,5.139722529822006e-16
2022-01-21 06:55:00+00:00,4.205227524399823e-16,4.205227524399823e-16,4.205227524399823e-16,4.205227524399823e-16
2022-01-21 07:00:00+00:00,3.4406407017816726e-16,3.4406407017816726e-16,3.4406407017816726e-16,3.4406407017816726e-16
2022-01-21 07:05:00+00:00,2.8150696650940953e-16,2.8150696650940953e-16,2.8150696650940953e-16,2.8150696650940953e-16
2022-01-21 07:10:00+00:00,2.303238816895169e-16,2.303238816895169e-16,2.303238816895169e-16,2.303238816895169e-16
2022-01-21 07:15:00+00:00,1.8844681229142288e-16,1.8844681229142288e-16,1.8844681229142288e-16,1.8844681229142288e-16
2022-01-21 07:20:00+00:00,1.5418375551116415e-16,1.5418375551116415e-16,1.5418375551116415e-16,1.5418375551116415e-16
2022-01-21 07:25:00+00:00,1.2615034541822519e-16,1.2615034541822519e-16,1.2615034541822519e-16,1.2615034541822519e-16
2022-01-21 07:30:00+00:00,0.3863636363636367,0.3863636363636367,0.3863636363636367,0.3863636363636367
2022-01-21 07:35:00+00:00,1.1504587846310195,1.160751934507707,1.1586121303737473,1.1504587846310195
2022-01-21 07:40:00+00:00,2.2315456773826234,2.2478653160825663,2.244961581453666,2.2315456773826234
2022-01-21 07:45:00+00:00,3.60956526266597,3.623222888857849,3.621216180163575,3.60956526266597
2022-01-21 07:50:00+00:00,5.2333554277837475,5.2333554277837475,5.2333554277837475,5.2333554277837475
2022-01-21 07:55:00+00:00,7.043199895459431,7.043199895459431,7.043199895459431,7.043199895459431
2022-01-21 08:00:00+00:00,8.921709005375899,8.921709005375899,8.921709005375899,8.921709005375899
2022-01-21 08:05:00+00:00,10.833671004398466,10.833671004398466,10.833671004398466,10.833671004398466
2022-01-21 08:10:00+00:00,12.784367185416926,12.784367185416926,12.784367185416926,12.784367185416926
2022-01-21 08:15:00+00:00,14.59630042443203,14.59630042443203,14.59630042443203,14.59630042443203
2022-01-21 08:20:00+00:00,16.2719730745353,16.2719730745353,16.2719730745353,16.2719730745353
2022-01-21 08:25:00+00:00,17.824796151892517,17.824796151892517,17.824796151892517,17.824796151892517
